ctry,year,iurban,igdp_pc,ilit,itfr,Ex,water,sewage,elec
Chile,1900,33,2194.03295898438,44,5,31.2775993347168,,,
Chile,1901,33,2222.51416015625,44.8605092127707,5,31.6063480377197,,,
Chile,1902,33,2292.57763671875,45.7294501971165,5,31.7100477218628,,,
Chile,1903,33,2138.78466796875,46.6069474923213,5,31.8847074508667,,,
Chile,1904,33,2287.48168945313,47.4931281024377,5,32.0610189437866,,,
Chile,1905,33,2259.240234375,48.3881215575652,5,32.2389974594116,,,
Chile,1906,33,2408.4013671875,49.2920599769669,5,32.4186773300171,,,
Chile,1907,33,2507.3115234375,50.2050781340871,5,32.6681385040283,,,
Chile,1908,33,2742.52465820313,51.1273135235387,5,32.6265001296997,,,
Chile,1909,33,2725.69458007813,52.0589064301295,5,32.6529970169067,,,
Chile,1910,33,3000.10766601563,53,5,32.6795740127564,,,
Chile,1911,33,2886.53442382813,53.9494646415113,5,32.7062292098999,,,
Chile,1912,33,2967.75146484375,54.9066345024371,5,32.7329568862915,,,
Chile,1913,33,2988.34497070313,55.8724535523233,5,32.8246459960938,,,
Chile,1914,33.6092059597305,2496.84594726563,56.8480265204155,5,32.9778938293457,,,
Chile,1915,34.2204680390724,2389.09301757813,57.8346546395512,5,33.1975078582764,,,
Chile,1916,34.8337966649778,2895.181640625,58.8338813707938,5,33.418628692627,,,
Chile,1917,35.4492023350205,2923.31811523438,59.8475515189104,5,33.6412563323975,,,
Chile,1918,36.0666956179955,2925.87573242188,60.8778885486939,5,33.8654022216797,,,
Chile,1919,36.6862871545237,2480.490234375,61.9275969935082,5,34.0910797119141,,,
Chile,1920,37.3079876576628,2768.1845703125,63,5,33.3108386993408,,,
Chile,1921,37.9318079135256,2369.802734375,64.1090115318137,5,34.2816028594971,,,
Chile,1922,38.5577587819028,2425.78271484375,65.2652990005024,5,34.2450580596924,,,
Chile,1923,39.1858511968938,2884.60107421875,66.4675225362697,5,34.2086601257324,,,
Chile,1924,39.8160961675433,3061.6796875,67.7135836790159,5,34.1724071502686,,,
Chile,1925,40.4485047784843,3152.44165039063,69,5,34.1971473693848,,,
Chile,1926,41.0830881905882,2850.490234375,70.3205389076599,5,34.4225654602051,,,
Chile,1927,41.7198576416211,2759.77905273438,71.6628349559597,5,34.7118244171143,,,
Chile,1928,42.3588244469074,3332.359375,72.9983853543143,5,35.0041217803955,,,
Chile,1929,43,3455.42919921875,74.2434774592046,5,35.2994995117188,,,
Chile,1930,43.6424202828618,2858.76391601563,75,5,35.6535663604736,,,
Chile,1931,44.2851388510062,2217.67236328125,74.9512044793917,5,35.9029159545898,,,
Chile,1932,44.9281990067224,1844.45581054688,74.8058765531261,5,36.2116985321045,,,
Chile,1933,45.5716528601463,2236.34716796875,74.5840404780937,5,36.5244731903076,,,
Chile,1934,46.2155636886746,2655.490234375,74.3074922520317,5,36.8413753509522,,,
Chile,1935,46.8600090977503,2761.24340820313,74,5,37.2164573669434,,,
Chile,1936,47.5050853196235,2847.45532226563,73.6875321870977,5,37.5558681488037,,,
Chile,1937,48.1509131585856,3181.24438476563,73.3985182722623,5,37.9551582336426,,,
Chile,1938,48.7976463685691,3160.888671875,73.164147313905,5,38.3605651855469,,,
